1;CS;phpmyadmin;dokuwiki;opencart;phpbb;phppgadmin;mediawiki;prestashop;vanilla;dolibarr;roundcubemail;openemr;kanboard
14;CouplingBetweenObjects ;0.0119619219830142;0.360997639339784;0.0835321254056919;0.908293760067824;0.10098924529572;1.04458297514187e-10;0.224466810916915;0.889509039610999;0.038947795385255;0.101313605879322;0.0528168661455736;0.156587192109957
15;DevelopmentCodeFragment ;5.7729047763427e-07;0.538766327947233;0.528682427705462;0.571212783989404;1;0.00626342397222653;0.276928563767516;0.862796871844602;0.881987131935545;0.053714396214439;0.0232598192686851;1
16;UnusedPrivateField ;0.00184851340934243;1;0.0725266045601771;1;1;0.13480958142559;0.430130989227468;0.424888957064055;0.013504913020366;0.444447786177805;0.111544118357312;1
17;UnusedLocalVariable ;4.77249626834202e-05;0.272356294585639;0.091039701009617;0.463956990571849;0.530339455916858;8.0477520363131e-05;0.248023143195063;0.563537689388673;3.50390368014039e-07;0.529341292989614;0.865200289436546;0.506647510956168
18;UnusedPrivateMethod ;0.004146704756807;1;0.303553302516185;0.0913504930834145;1;1.54089400987386e-05;0.153330050679478;0.241655697796954;0.00181185287791913;0.279030772063575;0.00912152668045473;0.473792469608927
19;UnusedFormalParameter ;1.57428386625511e-05;0.788911937611527;0.0840142469684056;0.477397386519957;0.387982459485137;0.0347975478958222;0.90365600256718;0.647902067615113;1.66977398576346e-06;0.0552239693895725;0.00751632983337067;0.839570056732034
20;embed.JS ;6.6255222444974e-09;0.315415474917529;0.204392285639054;0.0960189764958836;0.213028400917634;0.00496948557038854;0.171449108612883;0.305103142443198;2.60711541497894e-05;0.560063818463552;0.0671635571293865;2.44117519893969e-05
21;inline.JS ;7.85503567342971e-10;0.702736561313762;0.286549221058524;0.124599708247209;0.915388802679335;0.00137323762607586;0.0486584683518669;0.225206522631249;0.349116433467725;0.911234222298597;0.0624625954701854;1
22;embed.CSS ;2.24770601073469e-07;0.00174481577901622;0.807713832842833;0.241660987557952;0.3613342255104;0.00183858384773293;0.997909160059717;0.167616472340171;0.849897958486225;0.676359723807697;0.100047387898474;0.102575753569381
23;inline.CSS ;7.27030273231967e-06;0.00293920877586794;0.18845032585238;0.256974942615837;0.432067642573384;0.0582813649501716;0.118039081073298;0.0311978687451486;0.0021712548175683;0.724100344603216;0.201117976913791;0.196399395318638
24;css.in.JS ;0.219981305472617;0.331448331147132;0.853080499988607;0.234396365005092;0.917349836374355;5.21289084177517e-05;0.536473162396461;0.934785306716934;0.00013417007816224;0.431385784739692;0.298569411102605;0.808735251837743
25;css.in.JS..jquery ;0.987542172777635;0.382520085721253;0.787193614746543;0.272148776294809;0.0954271618712994;0.00192233546376823;0.315793859946956;0.0283298569649307;0.779333509181872;0.53858359539851;0.0241566141260607;0.0680115753924038
26;max.lines ;0.197122287679129;0.580841469060381;0.0576426077406233;0.202714720543593;0.0364189939610931;0.0189553197272603;0.647389391999449;0.0461491134852008;4.01324614323868e-10;0.761034382973379;0.00772371304257475;0.120252133958387
27;max.lines.per.function ;2.22756872502616e-05;0.259441791762065;0.109260330216948;0.57711972122963;0.454595070226163;3.44542868931556e-05;0.819274400289931;0.0668402639163034;0.314711784105308;0.771255431110381;0.00992509223434864;0.554527285203385
28;max.params ;0.149817382728244;0.18070913929225;0.176703912398062;0.448993870483955;0.127444134141687;0.759022531165741;0.693500827365827;0.705858516207069;0.0267726280553647;0.960517591266282;0.0377928502281732;0.0708028094786642
29;complexity ;0.144774384575481;0.125833927570414;0.1947881151463;0.22177691058463;0.10973058345164;0.000126139116418675;0.413305328545741;0.981546615941731;0.0645867391882182;0.735815043917468;0.11490125020714;0.0708326331721453
30;max.depth ;0.301370780061716;0.207483418381717;0.273134919381497;0.289086923934321;0.861477073864556;0.753485848672248;0.318057765949231;0.3725150792287;0.553461001197736;0.4866419739819;0.992164969878792;0.0701421688616269
31;max.nested.callbacks ;0.0822807483913585;0.723032257082464;0.0955459068388585;0.221955885281476;1;1.0200860330471e-05;0.496501246054047;0.148248411685428;0.000591949433038475;0.979953482323553;0.0314144200529718;0.163292045309025
