id;version1;version2;date1;date2;count
145;4.5.0;4.5.0.1;2015-09-23;2015-09-24;2
146;4.5.0.1;4.5.0.2;2015-09-24;2015-09-25;3
147;4.5.0.2;4.5.1;2015-09-25;2015-10-23;47
148;4.5.1;4.5.2;2015-10-23;2015-11-23;43
149;4.5.2;4.5.3;2015-11-23;2015-12-23;43
150;4.5.3;4.5.3.1;2015-12-23;2015-12-25;2
151;4.5.3.1;4.5.4;2015-12-25;2016-01-28;63
152;4.5.4;4.5.4.1;2016-01-28;2016-01-29;5
153;4.5.4.1;4.5.5.1;2016-01-29;2016-02-29;61
154;4.5.5.1;4.6.0;2016-02-29;2016-03-22;33
155;4.6.0;4.6.1;2016-03-22;2016-05-03;62
156;4.6.1;4.6.2;2016-05-03;2016-05-25;19
157;4.6.2;4.6.3;2016-05-25;2016-06-23;30
158;4.6.3;4.6.4;2016-06-23;2016-08-16;52
159;4.6.4;4.6.5;2016-08-16;2016-11-25;94
160;4.6.5;4.6.5.1;2016-11-25;2016-11-26;2
161;4.6.5.1;4.6.5.2;2016-11-26;2016-12-05;24
162;4.6.5.2;4.6.6;2016-12-05;2017-01-23;52
163;4.6.6;4.7.0;2017-01-23;2017-03-29;87
164;4.7.0;4.7.1;2017-03-29;2017-05-26;61
165;4.7.1;4.7.2;2017-05-26;2017-06-29;42
166;4.7.2;4.7.3;2017-06-29;2017-07-20;38
167;4.7.3;4.7.4;2017-07-20;2017-08-24;39
168;4.7.4;4.7.5;2017-08-24;2017-10-23;49
169;4.7.5;4.7.6;2017-10-23;2017-12-01;37
170;4.7.6;4.7.7;2017-12-01;2017-12-23;13
171;4.7.7;4.7.8;2017-12-23;2018-02-20;52
172;4.7.8;4.8.0;2018-02-20;2018-04-07;47
173;4.8.0;4.8.0.1;2018-04-07;2018-04-19;15
174;4.8.0.1;4.8.1;2018-04-19;2018-05-25;47
175;4.8.1;4.8.2;2018-05-25;2018-06-21;45
176;4.8.2;4.8.3;2018-06-21;2018-08-22;54
177;4.8.3;4.8.4;2018-08-22;2018-12-11;67
178;4.8.4;4.8.5;2018-12-11;2019-01-26;48
180;4.8.5;4.9.0.1;2019-01-26;2019-06-04;165
181;4.9.0.1;4.9.1;2019-06-04;2019-09-21;77
182;4.9.1;next;2019-09-21;2019-11-22;32
