1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _;;total sig;;86;;;;
43;TooManyMethods ;0.079683154; ;0.240350489; ;0.281339038; ;0.22248582; ;0.067992924; ;0.067387411; ;0.127613947; ;0.09298384; ;0.263415477; ;0; ;;;;;;;;
44;TooManyPublicMethods ;0.081562248; ;0.203780116; ;0.254711301; ;0.332702227; ;0.137868562; ;0.081877412; ;0.096508657; ;0.09298384; ;0.485143849; *;0.180139969; *;;;;;;;;
45;ExcessiveClassComplexity ;0.051953742; ;0.209406919; ;0.344333907; ;0.146743488; ;0.104108262; ;0.062701015; ;0.106972449; ;0.166771447; ;0.471486098; *;0.147650627; ;;;;;;;;
46;NumberOfChildren ;0.041396238; ;0; ;0; ;0.153092058; ;0.110933457; ;0.13511919; ;0.076325211; ;0; ;0.360312816; ;0.14834788; *;;;;;;;;
47;DepthOfInheritance ;0; ;0; ;0; ;0; ;0.08128113; *;0; ;0; ;0; ;0; ;0; ;;;;;;;;
48;CouplingBetweenObjects ;0.075507711; ;0; ;0; ;0.217488656; ;0.140780671; ;0.075122987; ;0.089695346; ;0.09298384; ;0.409232258; ;0.165930805; *;;;;;;;;
49;DevelopmentCodeFragment ;0.043814538; ;0.23667786; ;0.45010575; ;0.306349469; ;0.133877168; ;0.086862347; ;0.255175564; *;0; ;0.298117302; ;0; ;;;;;;;;
50;UnusedPrivateField ;0.030683009; ;0; ;0.357514442; ;0; ;0.141313111; ;0.09783765; ;0.067606152; ;0; ;0.16764213; ;0; ;;;;;;;;
51;UnusedLocalVariable ;0.050197784; ;0.102399337; ;0.425127293; ;0.271870388; ;0.161925759; *;0.140355375; ;0.076222192; ;0.166771447; ;0.479485691; *;0.073533172; ;;;;;;;;
52;UnusedPrivateMethod ;0.077379878; ;0; ;0.355671107; ;0; ;0.102662702; ;0.148368777; ;0.103584197; ;0; ;0.106177027; ;0; ;;;;;;;;
53;UnusedFormalParameter ;0.084180797; ;0.102399337; ;0.194734554; ;0.296335332; ;0.159013243; ;0.075007492; ;0.168749729; ;0.171938127; ;0.075858681; ;0.130620272; ;;;;;;;;
54;embed.JS ;0.109062999; ;0.161187919; ;0.195658045; ;0.221998027; ;0.095776974; ;0.083390593; ;0.052047179; ;0.158260286; ;0.209220494; ;0.142366612; ;;;;;;;;
55;inline.JS ;0.082450078; ;0.221413207; ;0.334881756; ;0.257406909; ;0.14483458; ;0.137553935; ;0.189960082; *;0.156854533; ;0.209220494; ;0; ;;;;;;;;
56;embed.CSS ;0.065496358; ;0; ;0.245882389; ;0.122699282; ;0.057722951; ;0.077483752; ;0.103868864; ;0.244458511; ;0.167117415; ;0.087805553; ;;;;;;;;
57;inline.CSS ;0.050848955; ;0.175567676; ;0.324105209; ;0.284377412; ;0.067970949; ;0.159773619; *;0.062218321; ;0.156854533; ;0.341595818; ;0.137882665; ;;;;;;;;
58;css.in.JS ;0.055236738; ;0.316427927; ;0.342941105; ;0.29125455; ;0.06754321; ;0.108748878; ;0.070734223; ;0.118335785; ;0.447246487; *;0.084161816; ;;;;;;;;
59;css.in.JS..jquery ;0.086389328; ;0.175335814; ;0.344333907; ;0.182159968; ;0.143587115; ;0.14524495; ;0.278290359; *;0.244458511; ;0.335444284; ;0.078946249; ;;;;;;;;
60;max.lines ;0.04775302; ;0.270850486; ;0.199819664; ;0.208967202; ;0.100864488; ;0.134034339; ;0.055743485; ;0.114743787; ;0.419645613; *;0.115647505; ;;;;;;;;
61;max.lines.per.function ;0.064716063; ;0.078030891; ;0.553180077; *;0.248665651; ;0.098115717; ;0.147444263; ;0.127324889; ;0.424463932; *;0.371194938; ;0.060538154; ;;;;;;;;
62;max.params ;0.079311776; ;0.078030891; ;0.264391298; ;0.312696325; ;0.129992552; ;0.151155237; ;0.193915705; *;0.192108147; ;0.307504901; ;0.102393031; ;;;;;;;;
63;complexity ;0.055218711; ;0.078030891; ;0.392634532; ;0.315060348; ;0.136952345; ;0.120597802; ;0.191223617; *;0.11415877; ;0.578000509; *;0.091985991; ;;;;;;;;
64;max.depth ;0.037220944; ;0.227308507; ;0.254711301; ;0; ;0.096667815; ;0.070011199; ;0.151142012; ;0.256832817; ;0.538562445; *;0.091985991; ;;;;;;;;
65;max.nested.callbacks ;0.07883329; ;0; ;0.534291634; *;0.143749434; ;0.135949082; ;0.075773748; ;0.104204995; ;0.237023907; ;0.432694557; *;0.141691785; ;;;;;;;;
