1;CS;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _
2;CS; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p
38;ExcessiveMethodLength ; 0.052440996401153 ; 0.996666666666667 ; 0.189757741079232 ; 0.963333333333333 ; 0.199762672991705 ; 0.566666666666667 ; 0.45296495584467 ; 0.0633333333333333 ; 0.184994359457508 ; 0.77 ; 0.253107275120918 ; 0.753333333333333 ; 0.10849507090454 ; 1 ; 0.39275324055977 ; 0.03 ; 0.271068717626342 ; 0.21 ; 0.0276640869107362 ; 1 
39;ExcessiveClassLength ; 0.115421897963567 ; 0.986666666666667 ; 0.333843274990538 ; 0.776666666666667 ; 0 ; 0.976666666666667 ; 0.409438904883197 ; 0.13 ; 0.0778288055162147 ; 1 ; 0.177521482781458 ; 0.963333333333333 ; 0.105444369563626 ; 0.99 ; 0.306806622821583 ; 0.126666666666667 ; 0.229191315500271 ; 0.363333333333333 ; 0 ; 0 
40;ExcessiveParameterList ; 0.0742718543610861 ; 0.993333333333333 ; 0 ; 0 ; 0.124301838577031 ; 0.896666666666667 ; 0.327861440473486 ; 0.483333333333333 ; 0.228609266332533 ; 0.793333333333333 ; 0 ; 0 ; 0.208565508884779 ; 0.856666666666667 ; 0 ; 0 ; 0.382509321356985 ; 0.0933333333333333 ; 0.202876853058059 ; 0.5 
41;ExcessivePublicCount ; 0.108408556992492 ; 0.986666666666667 ; 0.199644728829759 ; 0.956666666666667 ; 0.212167430917797 ; 0.556666666666667 ; 0.41333599706684 ; 0.18 ; 0.156292269130733 ; 0.906666666666667 ; 0.199376981859003 ; 0.95 ; 0.12913490451366 ; 0.983333333333333 ; 0 ; 0 ; 0.311542985916045 ; 0.233333333333333 ; 0 ; 0 
42;TooManyFields ; 0.104182713153557 ; 0.986666666666667 ; 0.207949555941012 ; 0.946666666666667 ; 0 ; 0 ; 0.215312953042237 ; 0.916666666666667 ; 0.249457543431227 ; 0.61 ; 0.219136778024402 ; 0.886666666666667 ; 0.261583294132613 ; 0.57 ; 0.416536310008138 ; 0 ; 0.311542985916045 ; 0.233333333333333 ; 0 ; 0 
43;TooManyMethods ; 0.244819797676936 ; 0.46 ; 0.27711376697569 ; 0.736666666666667 ; 0.212167430917797 ; 0.556666666666667 ; 0.412593835116823 ; 0.166666666666667 ; 0.124551175716326 ; 0.983333333333333 ; 0.333296080468135 ; 0.22 ; 0.167763542764561 ; 0.936666666666667 ; 0.416536310008138 ; 0 ; 0.271068717626342 ; 0.27 ; 0 ; 0 
44;TooManyPublicMethods ; 0.107991181286796 ; 0.94 ; 0.182965939881558 ; 0.986666666666667 ; 0.199762672991705 ; 0.566666666666667 ; 0.246606814313298 ; 0.826666666666667 ; 0.110668457318571 ; 0.953333333333333 ; 0.18656929301748 ; 0.903333333333333 ; 0.174979418346032 ; 0.78 ; 0.416536310008138 ; 0.00666666666666667 ; 0.205612384201144 ; 0.41 ; 0.150491774254039 ; 0.746666666666667 
45;ExcessiveClassComplexity ; 0.0987212451228168 ; 0.996666666666667 ; 0.166954225050873 ; 0.983333333333333 ; 0 ; 0.976666666666667 ; 0.396622069372868 ; 0.22 ; 0.179991051226968 ; 0.826666666666667 ; 0.366497946676093 ; 0 ; 0.186877396533523 ; 0.713333333333333 ; 0.341763382450294 ; 0.0366666666666667 ; 0.205612384201144 ; 0.41 ; 0.123341362538082 ; 0.98 
46;NumberOfChildren ; 0.147082775357737 ; 0.956666666666667 ; 0 ; 0 ; 0 ; 0 ; 0.260007749062557 ; 0.59 ; 0.179120656047638 ; 0.64 ; 0.27175794425708 ; 0.576666666666667 ; 0.166551249975807 ; 0.686666666666667 ; 0 ; 0 ; 0.229191315500271 ; 0.363333333333333 ; 0.208023309555988 ; 0.753333333333333 
47;DepthOfInheritance ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.169219897742292 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 
