1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _;;total sig;;107;;;;
35;CS; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2;;;;;;;;
36;CyclomaticComplexity ;0.025807816; ;0.19391917; ;0.495951454; ;0.231477581; ;0.098436002; ;0.107312317; ;0.043160654; ;0.185152648; ;0.234458497; ;0.208647582; *;;;;;;;;
37;NPathComplexity ;0.037107247; ;0.19391917; ;0.096258225; ;0.231477581; ;0.15856397; *;0.123875533; ;0.087605403; ;0.185152648; ;0.294621325; ;0.060482601; ;;;;;;;;
38;ExcessiveMethodLength ;0.015272166; ;0.238244041; ;0.427935205; ;0.231477581; ;0.092353105; ;0.107130526; ;0.18155099; ;0.174837054; ;0.269681522; ;0.233147607; *;;;;;;;;
39;ExcessiveClassLength ;0.043061099; ;0.238306584; ;0.34283412; ;0.231033673; ;0.125361283; *;0.074820775; ;0.117152549; ;0.1013073; ;0.400278698; ;0; ;;;;;;;;
40;ExcessiveParameterList ;0.068877838; ;0; ;0.151548148; ;0.192121053; ;0.107248856; ;0; ;0.06480905; ;0; ;0.283245621; ;0.040941428; ;;;;;;;;
41;ExcessivePublicCount ;0.042502093; ;0.194156815; ;0.291602753; ;0.285635857; ;0.137435097; *;0.074856706; ;0.075296306; ;0; ;0.302037356; ;0; ;;;;;;;;
42;TooManyFields ;0.028862304; ;0.21351231; ;0; ;0.142873141; ;0.280199924; *;0.122064926; ;0.041120563; ;0.168124167; ;0.215033159; ;0; ;;;;;;;;
43;TooManyMethods ;0.055139385; ;0.237584114; ;0.291602753; ;0.284274727; ;0.061714771; ;0.086395992; ;0.088942957; ;0.168124167; ;0.325916566; ;0; ;;;;;;;;
44;TooManyPublicMethods ;0.046277106; ;0.169639325; ;0.322166642; ;0.352849363; ;0.225455107; *;0.062628285; ;0.110202215; ;0.168124167; ;0.213882019; ;0.201766635; *;;;;;;;;
