1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;phppgadmin;phppgadmin sig _;mediawiki;mediawiki sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _;;total sig;;48;;;;
2;CS; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig;;;;;;;;
31;max.depth ;0.108249991; * ;0.330358273;  ;0.486780166;  ;0;;0;;0.181474972;  ;0.186580105;  ;0.254869205;  ;0.168177296;  ;0.356095234; * ;0.593756761; * ;0.120625299;  ;;           *  *   ;**;2;           #  #   ;••;           |  |   ;||
32;max.nested.callbacks ;0.084943563;  ;0; unique <=2 ;0.595363629;  ;0.176334316;  ;0;  ;0.21882245; * ;0.177820218;  ;0.197350799;  ;0.240399374; * ;0.310823511; * ;0.59188269; * ;0.151688341;  ;;       *      *  *  *   ;****;4;       #      #  #  #   ;••••;       |      |  |  |   ;||||
33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;CS; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2;;;;;;;;
36;CyclomaticComplexity ;0.072229257; ;0.262063978; ;0.320407349; ;0.315200344; ;0.661265133; ;0.097170567; ;0.179434115; ;0.104852317; ;0.300570221; ;0.293026836; ;0.459907303; ;0.151852262; ;;;;;;;;
37;NPathComplexity ;0.067053914; ;0.307370245; ;0.452731496; ;0.205896729; ;0.606066851; ;0.151942749; ;0.179434115; ;0.104852317; ;0.17195252; ;0.293026836; ;0.47689613; ;0.140803898; ;;;;;;;;
38;ExcessiveMethodLength ;0.0568567; ;0.224033404; ;0.369478186; ;0.214563984; ;0.310370672; ;0.170380029; ;0.210533498; ;0.233791136; ;0.173649291; ;0.293026836; ;0.540807948; ;0.267736363; ;;;;;;;;
39;ExcessiveClassLength ;0.053693101; ;0.196443959; ;0.379438991; ;0.086024824; ;0.330146601; ;0.146348928; ;0.296040206; ;0.153034525; ;0.242552165; ;0.346281133; ;0.514507919; ;0; ;;;;;;;;
40;ExcessiveParameterList ;0.046423028; ;0; ;0.260910439; ;0.283756485; ;0.301396134; ;0.068255805; ;0.215277672; ;0; ;0.139657195; ;0; ;0.288796685; ;0.075781688; ;;;;;;;;
41;ExcessivePublicCount ;0.078719809; ;0.240119019; ;0.494308128; ;0.145580598; ;0.391664748; ;0.203000599; ;0.180397273; ;0.145865183; ;0.171388; ;0; ;0.270937912; ;0; ;;;;;;;;
42;TooManyFields ;0.068901546; ;0.257418306; ;0; ;0.097300829; ;0; ;0.145167813; ;0.135524127; ;0.182276731; ;0.175200073; ;0.346437425; *;0.3079497; ;0; ;;;;;;;;
43;TooManyMethods ;0.11763526; ;0.187879395; ;0.494308128; ;0.147372709; ;0.363616159; ;0.117857912; ;0.279137905; ;0.183353406; ;0.274858301; ;0.346437425; *;0.370340584; ;0; ;;;;;;;;
