CS;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _;;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _;;;;;;;phpmyadmin;dokuwiki;opencart;phpbb;prestashop;vanilla;dolibarr;roundcubemail;openemr;kanboard;;min;max;avg;dp
UnusedPrivateMethod ;0.165438797;0.52;0;0;0.343103545;0;0;0;0.181918138;0.89;0.129845582;0.82;0.130290631;0.966666667;0;0;0.475922302;0.393333333;0;0;;;;;;*;;;;;;;;;;;;;;;;;*;•;;•;;;;0.343103545;;;;;;;;;0.343103545;0.343103545;0.343103545;#DIV/0!
UnusedFormalParameter ;0.272570561;0.123333333;0.454567791;0.593333333;0.405716533;0;0.515793295;0.636666667;0.305173797;0.46;0.247944817;0.01;0.36051178;0.1;0.117589681;0.843333333;0.35033127;0;0.282609393;0.22;;;;;;*;;;;;;*;;;°;;;*;;;;;***;•••;°;•••°;;;;0.405716533;;;0.247944817;0.36051178;;0.35033127;;;0.247944817;0.405716533;0.3411261;0.066621356
embed.JS ;0.167875807;0.893333333;0.471490504;0.52;0.343103545;0.726666667;0.374746106;0.906666667;0.174247851;0.783333333;0.254484663;0.78;0.25587441;0.123333333;0.412266348;0.166666667;0.35033127;0.6;0.242476719;0.433333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
inline.JS ;0.158687853;0.833333333;0.48392296;0.333333333;0.343103545;0;0.334197162;0;0.220488863;0.72;0.208246909;0.496666667;0.182727281;0.566666667;0.410214938;0.133333333;0.35033127;0.6;0;0;;;;;;*;;*;;;;;;;;;;;;;;;**;••;;••;;;;0.343103545;0.334197162;;;;;;;;0.334197162;0.343103545;0.338650353;0.006297764
embed.CSS ;0.153228834;0.943333333;0;0;0.322166131;0.92;0.259866583;0;0.180805261;0.61;0.214347176;0.506666667;0.250230087;0.696666667;0.484632175;0.06;0.475922302;0.54;0.243271011;0.296666667;;;;;;;;*;;;;;;;;;°;;;;;;*;•;°;•°;;;;;0.259866583;;;;0.484632175;;;;0.259866583;0.484632175;0.372249379;0.158933275
inline.CSS ;0.18104061;0.843333333;0.547995481;0.133333333;0.343103545;0;0.585295967;0;0.204592599;0.746666667;0.219992941;0.303333333;0.331721322;0.036666667;0.403611733;0.146666667;0.475922302;0.286666667;0.271177835;0.146666667;;;;;;*;;*;;;;;;*;;;;;;;;;***;•••;;•••;;;;0.343103545;0.585295967;;;0.331721322;;;;;0.331721322;0.585295967;0.420040278;0.143228736
css.in.JS ;0.182949505;0.856666667;0.24551746;0.866666667;0.40665153;0.84;0.259866583;0.83;0.223506177;0.45;0.216980089;0.696666667;0.278314949;0.336666667;0.385765352;0.066666667;0.35033127;0.7;0.354453253;0.19;;;;;;;;;;;;;;;;;°;;;;;;;;°;°;;;;;;;;;0.385765352;;;;0.385765352;0.385765352;0.385765352;#DIV/0!
css.in.JS..jquery ;0.182554804;0.266666667;0.402515773;0.073333333;0.405716533;0.386666667;0.268166516;0.97;0.293208428;0.7;0.16305395;0.956666667;0.241684231;0.74;0.484632175;0.06;0.35033127;0.693333333;0.281295719;0.103333333;;;;;°;;;;;;;;;;;;°;;;;;;;;°°;°°;;;0.402515773;;;;;;0.484632175;;;;0.402515773;0.484632175;0.443573974;0.058065065
max.lines ;0.195166007;0.58;0.411182493;0.486666667;0.343103545;0;0.37267729;0.916666667;0.204592599;0.753333333;0.165088185;0.88;0.166294191;0.583333333;0.326424422;0.6;0.475922302;0.493333333;0.260857578;0.203333333;;;;;;*;;;;;;;;;;;;;;;;;*;•;;•;;;;0.343103545;;;;;;;;;0.343103545;0.343103545;0.343103545;#DIV/0!
max.lines.per.function ;0.213676809;0.806666667;0.165718052;0;0.18839604;0.986666667;0.389352496;0.96;0.156355375;0.683333333;0.228849452;0.88;0.321375532;0.216666667;0.361281175;0.5;0.475922302;0.496666667;0.252955659;0.46;;;;*;;;;;;;;;;;;;;;;;;;*;•;;•;;;0.165718052;;;;;;;;;;0.165718052;0.165718052;0.165718052;#DIV/0!
max.params ;0.157081845;0.856666667;0.165718052;0;0.343103545;0;0.39631378;0.906666667;0.242499278;0.536666667;0.20983942;0.843333333;0.309290012;0.233333333;0.317729185;0.74;0.222514819;0.91;0.24466974;0.226666667;;;;*;;*;;;;;;;;;;;;;;;;;**;••;;••;;;0.165718052;0.343103545;;;;;;;;;0.165718052;0.343103545;0.254410798;0.125430485
complexity ;0.197346831;0.546666667;0.165718052;0;0.343103545;0.866666667;0.40953141;0.883333333;0.138777365;0.83;0.164286516;0.79;0.276834047;0.496666667;0.209613551;0.91;0.475922302;0.366666667;0.224931388;0.426666667;;;;*;;;;;;;;;;;;;;;;;;;*;•;;•;;;0.165718052;;;;;;;;;;0.165718052;0.165718052;0.165718052;#DIV/0!
max.depth ;0.14196997;0.15;0.184444703;0;0.343103545;0;0;0;0.145006146;0.903333333;0.237206047;0.69;0.254055049;0;0.257862915;0;0.475922302;0.336666667;0.224931388;0.426666667;;;;*;;*;;;;;;;;*;;*;;;;;;;****;••••;;••••;;;0.184444703;0.343103545;;;;0.254055049;0.257862915;;;;0.184444703;0.343103545;0.259866553;0.064947775
max.nested.callbacks ;0.16082908;0.083333333;0;0;0.36598523;0.893333333;0.268166516;0.87;0.181918138;0.696666667;0.318059211;0.38;0.207667057;0.72;0.362521498;0;0.308183846;0.69;0.226152077;0.976666667;;;°;;;;;;;;;;;;;*;;;;;;;*;•;°;•°;;0.16082908;;;;;;;0.362521498;;;;0.16082908;0.362521498;0.261675289;0.142618077
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _;;;;;;;phpmyadmin;dokuwiki;opencart;phpbb;prestashop;vanilla;dolibarr;roundcubemail;openemr;kanboard;;min;max;avg;dp
CS; te2; p2; te2; p2; te2; p2; te2; p2; te2; p2; te2; p2; te2; p2; te2; p2; te2; p2; te2; p2;;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;;;;;;;;;;;;;;;;;;;;;
CyclomaticComplexity ;0.098101169;0.98;0.289131392;0.89;0.425752062;0.303333333;0.487503336;0.21;0.206192375;0.786666667;0.246108696;0.376666667;0.115409521;0.98;0.372086268;0.076666667;0.249228651;0.833333333;0.226239771;0.446666667;;;;;;;;;;;;;;;;;°;;;;;;;;°;°;;;;;;;;;0.372086268;;;;0.372086268;0.372086268;0.372086268;#DIV/0!
NPathComplexity ;0.074621202;1;0.289131392;0.89;0.387227975;0.633333333;0.487503336;0.21;0.151484227;0.926666667;0.292991513;0.13;0.090455365;0.99;0.372086268;0.076666667;0.504487386;0.143333333;0.248962499;0.316666667;;;;;;;;;;;;;;;;;°;;;;;;;;°;°;;;;;;;;;0.372086268;;;;0.372086268;0.372086268;0.372086268;#DIV/0!
ExcessiveMethodLength ;0.035676683;1;0.36209356;0.706666667;0.404980045;0.31;0.487503336;0.21;0.192031046;0.76;0.27053251;0.526666667;0.235999266;0.68;0.372086268;0.076666667;0.268284801;0.64;0.170339055;0.833333333;;;;;;;;;;;;;;;;;°;;;;;;;;°;°;;;;;;;;;0.372086268;;;;0.372086268;0.372086268;0.372086268;#DIV/0!
ExcessiveClassLength ;0.092703992;0.993333333;0.395405517;0.67;0.11876723;1;0.44772095;0.356666667;0.14800833;0.993333333;0.163253252;0.933333333;0.129636406;0.97;0.313589263;0.116666667;0.106263914;0.983333333;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
ExcessiveParameterList ;0.067976318;0.993333333;0;0;0.439872924;0.42;0.340009088;0.79;0.208174961;0.776666667;0;0;0.246678331;0.49;0;0;0.444468929;0.306666667;0.154808582;0.746666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
ExcessivePublicCount ;0.097864053;0.976666667;0.297894416;0.796666667;0.426190015;0.343333333;0.458791347;0.383333333;0.135368862;0.976666667;0.194653551;0.92;0.123126287;0.986666667;0;0;0.557679352;0.106666667;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
TooManyFields ;0.09591151;0.973333333;0.318127047;0.753333333;0;0;0.379564623;0.746666667;0.235480425;0.63;0.210227455;0.873333333;0.391937112;0.05;0.298577615;0.14;0.557679352;0.106666667;0;0;;;;;;;;;;;;;;*;;;;;;;;;*;•;;•;;;;;;;;0.391937112;;;;;0.391937112;0.391937112;0.391937112;#DIV/0!
TooManyMethods ;0.22296364;0.506666667;0.316480619;0.72;0.426190015;0.343333333;0.457966453;0.39;0.139340292;0.98;0.24209512;0.663333333;0.242597699;0.53;0.298577615;0.14;0.142693769;0.91;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
TooManyPublicMethods ;0.060736948;1;0.296665428;0.866666667;0.404980045;0.336666667;0.448279757;0.473333333;0.129434782;0.913333333;0.241819959;0.563333333;0.15397556;0.823333333;0.298577615;0.076666667;0.351012959;0.663333333;0.117802017;0.893333333;;;;;;;;;;;;;;;;;°;;;;;;;;°;°;;;;;;;;;0.298577615;;;;0.298577615;0.298577615;0.298577615;#DIV/0!
ExcessiveClassComplexity ;0.118622934;0.946666667;0.418719061;0.573333333;0.201360976;0.976666667;0.44772095;0.31;0.146813127;0.903333333;0.395293845;0.003333333;0.300393903;0.146666667;0.32637947;0.076666667;0.212613984;0.92;0.232857239;0.47;;;;;;;;;;;;*;;;;;°;;;;;;*;•;°;•°;;;;;;;0.395293845;;0.32637947;;;;0.32637947;0.395293845;0.360836658;0.048729822
NumberOfChildren ;0.093669021;1;0;0;0;0;0.269845288;0.796666667;0.180773821;0.603333333;0.262820612;0.486666667;0.177162316;0.633333333;0;0;0.249228651;0.843333333;0.295576841;0.173333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
DepthOfInheritance ;0;0;0;0;0;0;0;0;0.167368421;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;*;;;;;;;;;;;;;*;•;;•;;;;;;0.167368421;;;;;;;0.167368421;0.167368421;0.167368421;#DIV/0!
CouplingBetweenObjects ;0.14209353;0.953333333;0;0;0;0;0.269624484;0.86;0.239066305;0.656666667;0.130125211;0.933333333;0.214329138;0.423333333;0.298577615;0.076666667;0.683270383;0.01;0.166856234;0.863333333;;;;;;;;;;;;;;;;;°;*;;;;;*;•;°;•°;;;;;;;;;0.298577615;0.683270383;;;0.298577615;0.683270383;0.490923999;0.272018865
DevelopmentCodeFragment ;0.057089621;1;0.442611647;0.303333333;0.351133143;0.78;0.487503336;0.21;0.24215741;0.583333333;0.146901642;0.953333333;0.238030519;0.373333333;0;0;0.350573092;0.45;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
UnusedPrivateField ;0.162353558;0.81;0;0;0.425752062;0.31;0;0;0.195940121;0.466666667;0.220936595;0.413333333;0.124820804;0.946666667;0;0;0.574249259;0.05;0;0;;;;;;;;;;;;;;;;;;*;;;;;*;•;;•;;;;;;;;;;0.574249259;;;0.574249259;0.574249259;0.574249259;#DIV/0!
UnusedLocalVariable ;0.127927152;0.92;0.259631288;0.886666667;0.556463161;0.096666667;0.428369879;0.513333333;0.237059037;0.733333333;0.213056225;0.78;0.100118107;0.98;0.32637947;0.076666667;0.106263914;0.986666667;0.243129959;0.336666667;;;;;;;°;;;;;;;;;;°;;;;;;;;°°;°°;;;;0.556463161;;;;;0.32637947;;;;0.32637947;0.556463161;0.441421316;0.162693738
UnusedPrivateMethod ;0.072763517;0.996666667;0;0;0.335073633;0.59;0;0;0.186486363;0.68;0.074932957;0.996666667;0.127178427;0.926666667;0;0;0.453092077;0.263333333;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
UnusedFormalParameter ;0.115556471;0.99;0.229741587;0.94;0.392210666;0.563333333;0.480124682;0.416666667;0.259499736;0.613333333;0.322187407;0.096666667;0.498371887;0;0.126196121;0.58;0.124570621;0.963333333;0.138829871;0.946666667;;;;;;;;;;;;;°;*;;;;;;;;;*;•;°;•°;;;;;;;0.322187407;0.498371887;;;;;0.322187407;0.498371887;0.410279647;0.12458124
embed.JS ;0.105079464;1;0.260240774;0.803333333;0.388505179;0.196666667;0.575268249;0.163333333;0.135368862;0.983333333;0.299497987;0.49;0.19987595;0.36;0.187373612;0.81;0.446775764;0.08;0.095795994;0.956666667;;;;;;;;;;;;;;;;;;;°;;;;;;°;°;;;;;;;;;;0.446775764;;;0.446775764;0.446775764;0.446775764;#DIV/0!
inline.JS ;0.222300009;0.39;0.314629559;0.823333333;0.353361792;0.36;0.428078709;0.33;0.169974674;0.893333333;0.139287319;0.883333333;0.178084041;0.593333333;0.386512137;0.11;0.446775764;0.08;0;0;;;;;;;;;;;;;;;;;;;°;;;;;;°;°;;;;;;;;;;0.446775764;;;0.446775764;0.446775764;0.446775764;#DIV/0!
embed.CSS ;0.160322149;0.903333333;0;0;0.405252602;0.456666667;0.271308699;0.653333333;0.249796033;0.44;0.146754224;0.946666667;0.315552692;0.213333333;0.113716262;0.926666667;0.398223472;0.276666667;0.211406551;0.303333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
inline.CSS ;0.152658948;0.943333333;0.329576819;0.656666667;0.441312822;0.193333333;0.422575905;0.57;0.29688887;0.206666667;0.136139921;0.896666667;0.305658851;0.113333333;0.25222863;0.506666667;0.492119309;0.263333333;0.14542197;0.833333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
css.in.JS ;0.165161955;0.846666667;0.346982341;0.38;0.359411925;0.81;0.335241195;0.486666667;0.158708407;0.956666667;0.15783797;0.946666667;0.151846749;0.81;0.157323218;0.85;0.250161652;0.81;0.238576635;0.636666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
css.in.JS..jquery ;0.130542377;0.83;0.228873851;0.826666667;0.11876723;1;0.348962691;0.593333333;0.152320959;0.97;0.168851056;0.94;0.106937192;0.983333333;0.113716262;0.926666667;0.268284801;0.623333333;0.208606251;0.436666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
max.lines ;0.119542684;0.96;0.25895262;0.85;0.310696934;0.636666667;0.420335037;0.636666667;0.148020695;0.91;0.256631574;0.446666667;0.095938175;0.963333333;0.277223145;0.54;0.250161652;0.786666667;0.177793764;0.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
max.lines.per.function ;0.218620985;0.436666667;0.062626057;0.883333333;0.401755657;0.513333333;0.312857037;0.873333333;0.162779742;0.846666667;0.304340445;0.41;0.221211595;0.676666667;0.235382931;0.62;0.374819682;0.493333333;0.177558617;0.603333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
max.params ;0.174814205;0.666666667;0.062626057;0.883333333;0.317192291;0.586666667;0.342658984;0.776666667;0.202726607;0.596666667;0.264891946;0.523333333;0.304395257;0.28;0.265938271;0.533333333;0.158923175;0.806666667;0.150414242;0.746666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
complexity ;0.141967234;0.843333333;0.062626057;0.883333333;0.396098689;0.446666667;0.57875251;0.156666667;0.211973887;0.323333333;0.111669969;0.963333333;0.131804549;0.956666667;0.351070329;0.14;0.351012959;0.64;0.187641251;0.613333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
max.depth ;0.0667641;1;0.09405164;0.966666667;0.404980045;0.31;0;0;0.212884261;0.48;0.251429197;0.573333333;0.095467104;0.996666667;0.174992866;0.646666667;0.212613984;0.92;0.187641251;0.613333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
max.nested.callbacks ;0.114069616;0.903333333;0;0;0.544517952;0.206666667;0.400608428;0.333333333;0.258652888;0.276666667;0.301755457;0.183333333;0.232557161;0.51;0.346518762;0.28;0.182834636;0.906666667;0.238294992;0.623333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
