1;CS;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;phppgadmin;phppgadmin p _;mediawiki;mediawiki p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _
2;CS; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p
12;ExcessiveClassComplexity ; 0.13952044718261 ; 0.8 ; 0.260890928731407 ; 0.866666666666667 ; 0.137882867785773 ; 0.756666666666667 ; 0.199112469021159 ; 0.906666666666667 ; 0.256375766481874 ; 0 ; 0.209431322263941 ; 0.89 ; 0.239021658869273 ; 0.67 ; 0.201648640814629 ; 0.00333333333333333 ; 0.115087942004007 ; 0.01 ; 0.247108593118839 ; 0.563333333333333 ; 0.346452243907873 ; 0.77 ; 0.122967570359196 ; 0.85 
13;NumberOfChildren ; 0.122308861927574 ; 0.996666666666667 ; 0 ; 0 ; 0 ; 0 ; 0.113355554415637 ; 1 ; 0 ; 0 ; 0.215747902407234 ; 0.67 ; 0.168003021542893 ; 0.976666666666667 ; 0.167905683520541 ; 0.996666666666667 ; 0.143082303204502 ; 1 ; 1 ;  all cs=1 ; 0.183203013323165 ; 1 ; 0.197240496137263 ; 0.536666666666667 
14;DepthOfInheritance ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.293507234852801 ; 0.79 ; 0 ; 0 ; 0.0927045738564594 ; 0.84 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 
15;CouplingBetweenObjects ; 0.172036991532231 ; 0.936666666666667 ; 0 ; 0 ; 0 ; 0 ; 0.125955540741638 ; 0.996666666666667 ; 0 ; 0 ; 0.127753135436681 ; 0 ; 0.118375547685213 ; 0.00666666666666667 ; 0.165664943093945 ; 0.86 ; 0.0834335079488102 ; 0.0133333333333333 ; 0.217811287892933 ; 0.766666666666667 ; 0.207771491018362 ; 0.996666666666667 ; 0.140581754543234 ; 0.826666666666667 
16;DevelopmentCodeFragment ; 0.0546054814785558 ; 0.09 ; 0.237916113389108 ; 0.546666666666667 ; 0.311761784660224 ; 0.926666666666667 ; 0.329535127733614 ; 0.71 ; 0 ; 0 ; 0.261812397715656 ; 0.65 ; 0.27357687201787 ; 0.78 ; 0.188192714552912 ; 0.773333333333333 ; 0.0631466700067553 ; 0.996666666666667 ; 0 ; 0 ; 0.240809361294656 ; 0.876666666666667 ; 0 ; 0 
17;UnusedPrivateField ; 0.110183332084321 ; 0.946666666666667 ; 0 ; 0 ; 0.183671782218231 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.169528131688504 ; 0.96 ; 0.0982808368592496 ; 0.94 ; 0.141491639032163 ; 1 ; 0.126671255337724 ; 1 ; 0 ; 0 ; 0.14184300482553 ; 0.99 ; 0 ; 0 
18;UnusedLocalVariable ; 0.142984485462171 ; 0.936666666666667 ; 0.321705560895902 ; 0.58 ; 0.183671782218231 ; 0.94 ; 0.310754568601542 ; 0.64 ; 0.368599157895516 ; 0.623333333333333 ; 0.200975390988479 ; 0.93 ; 0.307340304602856 ; 0.646666666666667 ; 0.308436652841829 ; 0.00333333333333333 ; 0.10998844780597 ; 0.986666666666667 ; 0.247108593118839 ; 0.563333333333333 ; 0.281179068941478 ; 0.91 ; 0.137231921938187 ; 0.903333333333333 
19;UnusedPrivateMethod ; 0.118813303704932 ; 0.873333333333333 ; 0 ; 0 ; 0.183671782218231 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.11657518722774 ; 0.96 ; 0.125438847126746 ; 0.983333333333333 ; 0.166507800017846 ; 0.81 ; 0.120929531299557 ; 0.97 ; 0 ; 0 ; 0.137418314609695 ; 1 ; 0 ; 0 
20;UnusedFormalParameter ; 0.124087445319614 ; 0.99 ; 0.209567452684893 ; 0.74 ; 0.226369219540824 ; 0 ; 0.370982155721119 ; 0.34 ; 0.293507234852801 ; 0 ; 0.165741757466438 ; 0.97 ; 0.344768341860857 ; 0.27 ; 0.318411085639951 ; 0 ; 0.121390565906577 ; 0.983333333333333 ; 0.195621072320869 ; 0.633333333333333 ; 0.240809361294656 ; 0 ; 0.143351578791263 ; 0.81 
21;embed.JS ; 0.20977876212814 ; 0.533333333333333 ; 0.227198531774215 ; 0.876666666666667 ; 0.183671782218231 ; 0.976666666666667 ; 0.250964131955796 ; 0.88 ; 0.165730736242802 ; 0.95 ; 0.197918439039553 ; 0.973333333333333 ; 0.161459466233258 ; 0.97 ; 0.313087208454786 ; 0.68 ; 0.0830963888335331 ; 0.97 ; 0.273906191500801 ; 0.45 ; 0.239817230780562 ; 0.873333333333333 ; 0.182678953516416 ; 0.746666666666667 
22;inline.JS ; 0.162752760374404 ; 0.803333333333333 ; 0.270644088671176 ; 0.77 ; 0.183671782218231 ; 0 ; 0.269990612470132 ; 0.8 ; 0.368599157895516 ; 0.61 ; 0.215106616938713 ; 0.826666666666667 ; 0.267863715087465 ; 0.603333333333333 ; 0.200140600113878 ; 0.823333333333333 ; 0.11798114083814 ; 0.876666666666667 ; 0.285864813617782 ; 0.323333333333333 ; 0.239817230780562 ; 0.916666666666667 ; 0 ; 0 
23;embed.CSS ; 0.16948633641546 ; 0.923333333333333 ; 0.360430744389081 ; 0.36 ; 0.226369219540824 ; 0.843333333333333 ; 0.248577059115498 ; 0 ; 0 ; 0 ; 0.194061769604345 ; 0.826666666666667 ; 0.193421792385366 ; 1 ; 0.216998214213101 ; 0.726666666666667 ; 0.117437825662604 ; 1 ; 0.285864813617782 ; 0.413333333333333 ; 0.239817230780562 ; 0.873333333333333 ; 0.149990946098288 ; 0.77 
24;inline.CSS ; 0.167143311889915 ; 0.89 ; 0.416190827917735 ; 0.34 ; 0.183671782218231 ; 0 ; 0.271477941223161 ; 0 ; 0.245220981443153 ; 0.846666666666667 ; 0.208358105635234 ; 0.01 ; 0.146210059579482 ; 0.776666666666667 ; 0.147024408580709 ; 0.826666666666667 ; 0.0934568153037083 ; 0.953333333333333 ; 0.271082992293181 ; 0.38 ; 0.279518866566979 ; 0.813333333333333 ; 0.211240368831276 ; 0.52 
25;css.in.JS ; 0.107584568164307 ; 1 ; 0.368169002716655 ; 0.243333333333333 ; 0.225346226717296 ; 0.826666666666667 ; 0.182197748181709 ; 0 ; 0.29191057127756 ; 0.713333333333333 ; 0.207650615219696 ; 0.593333333333333 ; 0.254080332659788 ; 0.84 ; 0.171908918472219 ; 0.89 ; 0.115420382842221 ; 1 ; 0.321079756926258 ; 0.206666666666667 ; 0.250136390664059 ; 0.893333333333333 ; 0.19215877188814 ; 0.763333333333333 
26;css.in.JS..jquery ; 0.102235502008021 ; 0.883333333333333 ; 0.333050947244392 ; 0.0233333333333333 ; 0.137882867785773 ; 0.94 ; 0.121644170594536 ; 0.996666666666667 ; 0 ; 0 ; 0.171865330950152 ; 0.98 ; 0.231874102343715 ; 0.973333333333333 ; 0.216275018909268 ; 0.943333333333333 ; 0.0948736622718977 ; 1 ; 0.285864813617782 ; 0.413333333333333 ; 0.346452243907873 ; 0.79 ; 0.122064047418523 ; 0.823333333333333 
27;max.lines ; 0.112454112347604 ; 0.993333333333333 ; 0.353154535860399 ; 0.31 ; 0.183671782218231 ; 0 ; 0.180085961934491 ; 0.993333333333333 ; 0.270887434230263 ; 0.77 ; 0.132982275300101 ; 0.676666666666667 ; 0.165068233975051 ; 0.963333333333333 ; 0.128027845730625 ; 0.993333333333333 ; 0.119164729767485 ; 0.99 ; 0.397165878703331 ; 0.08 ; 0.104312641677025 ; 0.996666666666667 ; 0.304186365848171 ; 0.1 
28;max.lines.per.function ; 0.146917410988652 ; 0.996666666666667 ; 0.106341169752386 ; 0.763333333333333 ; 0.311761784660226 ; 0.746666666666667 ; 0.151028439057348 ; 0.976666666666667 ; 0.245220981443153 ; 0.726666666666667 ; 0.117856916102068 ; 0.93 ; 0.257497036839832 ; 0.806666666666667 ; 0.187187463410946 ; 0.953333333333333 ; 0.164530660472554 ; 0.963333333333333 ; 0.33389695677127 ; 0.233333333333333 ; 0.346452243907873 ; 0.636666666666667 ; 0.24449551214102 ; 0.43 
29;max.params ; 0.129495799885408 ; 0.973333333333333 ; 0.101962048545621 ; 0.963333333333333 ; 0.183671782218231 ; 0 ; 0.120081228289098 ; 0.996666666666667 ; 0.270887434230263 ; 0.773333333333333 ; 0.205797511031814 ; 0.91 ; 0.139966360206961 ; 0.946666666666667 ; 0.279261281359162 ; 0.726666666666667 ; 0.112041908702658 ; 1 ; 0.403827421333231 ; 0.0966666666666667 ; 0.346452243907874 ; 0.686666666666667 ; 0.190138435977309 ; 0.473333333333333 
