1;CS;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _
2;CS; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p
15;CouplingBetweenObjects ; 0.13610487034627 ; 0.996666666666667 ; 0 ; 0 ; 0 ; 0 ; 0.251784679822441 ; 0.656666666666667 ; 0.23600374972082 ; 0.836666666666667 ; 0.220061571963669 ; 0.623333333333333 ; 0.247324904891467 ; 0.663333333333333 ; 0.269576621864739 ; 0.713333333333333 ; 0.356888422094948 ; 0.746666666666667 ; 0.146769680144539 ; 0.706666666666667 
16;DevelopmentCodeFragment ; 0.169487155907592 ; 0.00333333333333333 ; 0.429640647424489 ; 0.623333333333333 ; 0.405028772592606 ; 0.66 ; 0.27774738583561 ; 0.993333333333333 ; 0.264410852872313 ; 0.613333333333333 ; 0.237933727350769 ; 0.37 ; 0.286399340428855 ; 0.283333333333333 ; 0 ; 0 ; 0.356888422094948 ; 0.736666666666667 ; 0 ; 0 
17;UnusedPrivateField ; 0.14143452149575 ; 0.633333333333333 ; 0 ; 0 ; 0.356690053170099 ; 0 ; 0 ; 0 ; 0.19603598574724 ; 0.416666666666667 ; 0.173132703417704 ; 0.993333333333333 ; 0.216431923058751 ; 0.846666666666667 ; 0 ; 0 ; 0.294992372011407 ; 0.79 ; 0 ; 0 
18;UnusedLocalVariable ; 0.122856845876991 ; 0.976666666666667 ; 0.329846680972279 ; 0.82 ; 0.31898120780846 ; 0.903333333333333 ; 0.27774738583561 ; 0.986666666666667 ; 0.144856540197329 ; 0.976666666666667 ; 0.230743404932381 ; 0 ; 0.145843642931072 ; 0.65 ; 0.21586578670275 ; 0.856666666666667 ; 0.246820330822951 ; 0.913333333333333 ; 0.14728747190356 ; 0.823333333333333 
19;UnusedPrivateMethod ; 0.143529433651505 ; 0.786666666666667 ; 0 ; 0 ; 0.356690053170099 ; 0 ; 0 ; 0 ; 0.173007285038074 ; 0.923333333333333 ; 0.20889676084666 ; 0.293333333333333 ; 0.267197301662633 ; 0.483333333333333 ; 0 ; 0 ; 0.382141629943457 ; 0.576666666666667 ; 0 ; 0 
20;UnusedFormalParameter ; 0.222150556038719 ; 0.516666666666667 ; 0.364457300277051 ; 0.81 ; 0.427569716948853 ; 0 ; 0.467189420501342 ; 0.753333333333333 ; 0.225065138627415 ; 0.793333333333333 ; 0.210131757047301 ; 0.0166666666666667 ; 0.237218781676763 ; 0.68 ; 0.117589681156702 ; 0.79 ; 0.304063466780817 ; 0 ; 0.164939116812108 ; 0.74 
21;embed.JS ; 0.188018500718775 ; 0.816666666666667 ; 0.269811701881903 ; 0.92 ; 0.356690053170099 ; 0.66 ; 0.466513233766236 ; 0.783333333333333 ; 0.170680423740166 ; 0.826666666666667 ; 0.350072105358127 ; 0.203333333333333 ; 0.128347180333476 ; 0.696666666666667 ; 0.412266347517691 ; 0.15 ; 0.326814909620222 ; 0.586666666666667 ; 0.147312518844443 ; 0.843333333333333 
22;inline.JS ; 0.210132224492615 ; 0.543333333333333 ; 0.297528234976226 ; 0.776666666666667 ; 0.356690053170099 ; 0 ; 0.392831869763942 ; 0 ; 0.170680423740166 ; 0.92 ; 0.191515936676453 ; 0.483333333333333 ; 0.197148329984033 ; 0.586666666666667 ; 0.410214937704895 ; 0.133333333333333 ; 0.326814909620222 ; 0.586666666666667 ; 0 ; 0 
23;embed.CSS ; 0.176905585158031 ; 0.926666666666667 ; 0 ; 0 ; 0.345253410061668 ; 0.863333333333333 ; 0.394252273650709 ; 0 ; 0.186907219419607 ; 0.506666666666667 ; 0.178439644011424 ; 0.623333333333333 ; 0.256900067767589 ; 0.683333333333333 ; 0.484632175252017 ; 0.0433333333333333 ; 0.326814909620222 ; 0.706666666666667 ; 0.0640377265831809 ; 0.933333333333333 
24;inline.CSS ; 0.279398356606404 ; 0.22 ; 0.406314853241891 ; 0.403333333333333 ; 0.356690053170099 ; 0 ; 0.465823760512743 ; 0.00333333333333333 ; 0.201827126185096 ; 0.773333333333333 ; 0.179323255846763 ; 0.436666666666667 ; 0.180769479640496 ; 0.48 ; 0.403611733016073 ; 0.16 ; 0.294992372011407 ; 0.806666666666667 ; 0.0810556069565379 ; 0.976666666666667 
