1;CS;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _
2;CS; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p
12;ExcessiveClassComplexity ; 0.128522421575364 ; 0 ; 0.545983414233517 ; 0 ; 0.424231359185446 ; 0.0566666666666667 ; 0.301750016164974 ; 0.0233333333333333 ; 0.0559487877954166 ; 0.626666666666667 ; 0.0964799915825779 ; 0.0566666666666667 ; 0.0884044756767781 ; 0.0466666666666667 ; 0.125377924914208 ; 0.43 ; 0.382253250551343 ; 0.273333333333333 ; 0.184885038935868 ; 0.03 
13;NumberOfChildren ; 0.104903385899996 ; 0.00666666666666667 ; 0 ; 0 ; 0 ; 0 ; 0.348446715619917 ; 0.0166666666666667 ; 0.0943971001629786 ; 0.14 ; 0.0966459892846684 ; 0.37 ; 0.0748457208750622 ; 0.353333333333333 ; 1 ;  all cs=1 ; 0.436685632426755 ; 0.2 ; 0.174923577790077 ; 0.07 
14;DepthOfInheritance ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0291980812829249 ; 0.49 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 
15;CouplingBetweenObjects ; 0.143619454191064 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.310055068626886 ; 0.0333333333333333 ; 0.202762054697298 ; 0.03 ; 0.123921538217182 ; 0.19 ; 0.0885852026742608 ; 0.33 ; 0.125377924914208 ; 0.496666666666667 ; 0.366055811552957 ; 0.263333333333333 ; 0.148006441897824 ; 0.176666666666667 
16;DevelopmentCodeFragment ; 0.117114348098199 ; 0 ; 0.234103713215918 ; 0.33 ; 0.600116009458678 ; 0 ; 0.483042003409118 ; 0 ; 0.083974195244688 ; 0.54 ; 0.0966459892846684 ; 0.34 ; 0.173966772884125 ; 0.0233333333333333 ; 0 ; 0 ; 0.475720719271117 ; 0.01 ; 0 ; 0 
17;UnusedPrivateField ; 0.162167177167439 ; 0 ; 0 ; 0 ; 0.507670388701454 ; 0 ; 0 ; 0 ; 0.102649880333786 ; 0.0633333333333333 ; 0.167614938845315 ; 0.0133333333333333 ; 0.198066224286582 ; 0.0166666666666667 ; 0 ; 0 ; 0.319374175117477 ; 0.19 ; 0 ; 0 
18;UnusedLocalVariable ; 0.0740730732074675 ; 0.0566666666666667 ; 0.25890579228416 ; 0.133333333333333 ; 0.42613993681578 ; 0.0166666666666667 ; 0.483042003409118 ; 0.00666666666666667 ; 0.0494958198417915 ; 0.88 ; 0.118136104620469 ; 0.37 ; 0.118469519108362 ; 0.0366666666666667 ; 0.125377924914208 ; 0.43 ; 0.329555373297992 ; 0.34 ; 0.193023779663733 ; 0.0133333333333333 
19;UnusedPrivateMethod ; 0.120118991688662 ; 0 ; 0 ; 0 ; 0.531159518612307 ; 0 ; 0 ; 0 ; 0.101591117382384 ; 0.293333333333333 ; 0.159834581392402 ; 0.00666666666666667 ; 0.0994419949058155 ; 0.266666666666667 ; 0 ; 0 ; 0.436685632426755 ; 0.14 ; 0 ; 0 
20;UnusedFormalParameter ; 0.0752193891445104 ; 0.113333333333333 ; 0.210086854472834 ; 0.29 ; 0.252208216065192 ; 0.433333333333333 ; 0.478320800757655 ; 0.0266666666666667 ; 0.0555399807143862 ; 0.89 ; 0.0846503050536924 ; 0.0666666666666667 ; 0.14249168102678 ; 0.0866666666666667 ; 0.125288995687648 ; 0.313333333333333 ; 0.353138630329351 ; 0.253333333333333 ; 0.142542988304601 ; 0.123333333333333 
21;embed.JS ; 0.101539150867565 ; 0.0133333333333333 ; 0.520738258179569 ; 0 ; 0.343745804983356 ; 0.0166666666666667 ; 0.316518950649524 ; 0.2 ; 0.0494958198417915 ; 0.806666666666667 ; 0.132042571944021 ; 0.286666666666667 ; 0.115501445270437 ; 0.0233333333333333 ; 0.136494411995803 ; 0.41 ; 0.366308500164369 ; 0.0933333333333333 ; 0.0993020512990032 ; 0.31 
22;inline.JS ; 0.0690721431923225 ; 0.153333333333333 ; 0.139916712424951 ; 0.456666666666667 ; 0.422352463053335 ; 0 ; 0.360848961645902 ; 0 ; 0.0555399807143862 ; 0.756666666666667 ; 0.212636147182438 ; 0 ; 0.104843830646971 ; 0.146666666666667 ; 0.12046323100087 ; 0.606666666666667 ; 0.366308500164369 ; 0.0933333333333333 ; 0 ; 0 
23;embed.CSS ; 0.0676997156871976 ; 0.233333333333333 ; 0 ; 0 ; 0.25334896557353 ; 0.433333333333333 ; 0.29854557864353 ; 0 ; 0.0925133890409635 ; 0.526666666666667 ; 0.082603126409636 ; 0.486666666666667 ; 0.175062457964238 ; 0.0366666666666667 ; 0.112366556162941 ; 0.55 ; 0.349557547989284 ; 0.106666666666667 ; 0.166138102258108 ; 0.00333333333333333 
24;inline.CSS ; 0.065872931881763 ; 0.266666666666667 ; 0.406902889390288 ; 0.00666666666666667 ; 0.479786884181406 ; 0.00333333333333333 ; 0.36117433149359 ; 0.0933333333333333 ; 0.0181118682027393 ; 0.98 ; 0.214822344947236 ; 0 ; 0.11692908330768 ; 0.04 ; 0.102584310508425 ; 0.72 ; 0.448930968757835 ; 0.133333333333333 ; 0.197123313344474 ; 0 
25;css.in.JS ; 0.108360092851564 ; 0.01 ; 0.372622796173763 ; 0.00666666666666667 ; 0.361069782242825 ; 0.116666666666667 ; 0.473811896994517 ; 0 ; 0.0505243941536324 ; 0.93 ; 0.13278535209644 ; 0.186666666666667 ; 0.0977379552833849 ; 0.28 ; 0.117889235557352 ; 0.426666666666667 ; 0.451376433539768 ; 0.0833333333333333 ; 0.208941054395412 ; 0.0233333333333333 
26;css.in.JS..jquery ; 0.13701617295126 ; 0 ; 0.350305358121282 ; 0 ; 0.424231359185446 ; 0.06 ; 0.246524829282698 ; 0.09 ; 0.0878427381224719 ; 0.626666666666667 ; 0.137045169260029 ; 0.14 ; 0.323377040942242 ; 0 ; 0.112366556162941 ; 0.55 ; 0.485957722474122 ; 0.0833333333333333 ; 0.147967336364766 ; 0.0666666666666667 
27;max.lines ; 0.101297319216517 ; 0 ; 0.217392299169576 ; 0.0633333333333333 ; 0.5353022590918 ; 0 ; 0.412732792088305 ; 0.07 ; 0.0555399807143862 ; 0.586666666666667 ; 0.146486835040674 ; 0.116666666666667 ; 0.128216398292229 ; 0.0133333333333333 ; 0.186502096939742 ; 0.21 ; 0.295678679290569 ; 0.236666666666667 ; 0.163304098524463 ; 0.0533333333333333 
28;max.lines.per.function ; 0.131439562679529 ; 0 ; 0.124978669807584 ; 0 ; 0.596952896299368 ; 0.00333333333333333 ; 0.246593034862585 ; 0.363333333333333 ; 0.0494958198417915 ; 0.646666666666667 ; 0.157086260862516 ; 0.153333333333333 ; 0.168937798847934 ; 0.0266666666666667 ; 0.142076365400905 ; 0.5 ; 0.225513917326209 ; 0.323333333333333 ; 0.107695199538696 ; 0.266666666666667 
29;max.params ; 0.141026492996822 ; 0 ; 0.124978669807584 ; 0 ; 0.422352463053335 ; 0 ; 0.477677053421035 ; 0.00666666666666667 ; 0.0520117202560049 ; 0.776666666666667 ; 0.186211316730045 ; 0.03 ; 0.164374306288702 ; 0.05 ; 0.239515307269144 ; 0.08 ; 0.482424693350852 ; 0.04 ; 0.134744480743827 ; 0.0766666666666667 
30;complexity ; 0.129057757857945 ; 0 ; 0.124978669807584 ; 0 ; 0.424980978145825 ; 0.0533333333333333 ; 0.298331952162729 ; 0.113333333333333 ; 0.0497179976266878 ; 0.67 ; 0.119117952833955 ; 0.14 ; 0.206278347773743 ; 0.01 ; 0.105329501287301 ; 0.636666666666667 ; 0.405090898397319 ; 0.183333333333333 ; 0.147967336364766 ; 0.0666666666666667 
31;max.depth ; 0.111390108238887 ; 0 ; 0.348329281095828 ; 0 ; 0.479786884181406 ; 0.0233333333333333 ; 0 ; 0 ; 0.0181118682027393 ; 0.973333333333333 ; 0.185985952069138 ; 0.0166666666666667 ; 0.252941937264688 ; 0 ; 0.24183932236075 ; 0.0833333333333333 ; 0.485957722474122 ; 0.0933333333333333 ; 0.147967336364766 ; 0.0666666666666667 
