1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;phppgadmin;phppgadmin sig _;mediawiki;mediawiki sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _
2;CS; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig
30;complexity ; 0.0973084928755347 ;  ; 0.149107043503208 ;  ; 0.469960497930826 ;  ; 0.324634698611736 ;  ; 0.426865477006737 ;  ; 0.190025190318088 ;  ; 0.150617525499775 ;  ; 0.126605518231938 ;  ; 0.13001441764605 ;  ; 0.406680144175066 ;  ; 0.320031291305336 ;  ; 0.333425371942362 ; * 
31;max.depth ; 0.0982027583145708 ;  ; 0.350949134075884 ;  ; 0.469960497930826 ; * ; 0 ; unique <=2 ; 0 ; unique <=2 ; 0.193600704020909 ;  ; 0.195222459648537 ;  ; 0.282847325409803 ;  ; 0.21123960976166 ;  ; 0.255254387775544 ; * ; 0.291168624463954 ; * ; 0.333425371942362 ; * 
32;max.nested.callbacks ; 0.0789202886132602 ;  ; 0 ; unique <=2 ; 0.522050310300506 ;  ; 0.14356729742268 ;  ; 0 ;  ; 0.170325972108785 ;  ; 0.164119655866072 ;  ; 0.190433622912968 ;  ; 0.195731190173347 ;  ; 0.372952204066943 ; * ; 0.361389422662823 ;  ; 0.351818556410926 ;  
33;;;;;;;;;;;;;;;;;;;;;;;;;
34;;;;;;;;;;;;;;;;;;;;;;;;;
35;CS; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2
36;CyclomaticComplexity ; 0.113547473431484 ; ; 0.237895459761037 ; ; 0.425752061781574 ; ; 0.106293481036994 ; ; 0.492928575246398 ; ; 0.161782605282075 ; ; 0.184841445932977 ; ; 0.133431451604942 ; ; 0.345134216823952 ; ; 0.35152758062704 ; ; 0.451779308297523 ; ; 0.109833922947905 ; 
37;NPathComplexity ; 0.070754146223651 ; ; 0.27390175674771 ; ; 0.351192976735401 ; ; 0.129599564227898 ; ; 0.376699273427916 ; ; 0.237178256788733 ; ; 0.106131012894242 ; ; 0.126262710174836 ; ; 0.263250504505688 ; ; 0.35152758062704 ; ; 0.36031226247981 ; ; 0.128307686732057 ; 
38;ExcessiveMethodLength ; 0.0642259359981924 ; ; 0.295292840860068 ; ; 0.404980045246479 ; ; 0.128156720020145 ; ; 0.390578664452156 ; ; 0.153672023229384 ; ; 0.179511349678744 ; ; 0.200067440983807 ; ; 0.208217589322306 ; ; 0.35152758062704 ; ; 0.343293106354207 ; ; 0.183438132369142 ; 
39;ExcessiveClassLength ; 0.0934607700792276 ; ; 0.242775216160139 ; ; 0.201360975705684 ; ; 0.104497116303618 ; ; 0.303189232676985 ; ; 0.161769778030032 ; ; 0.292677306191891 ; ; 0.184943038214426 ; ; 0.317396354460986 ; ; 0.236293697698154 ; ; 0.409427198548145 ; ; 0 ; 
40;ExcessiveParameterList ; 0.0655443680157451 ; ; 0 ; ; 0.521531672833908 ; ; 0.294597809295081 ; ; 0.478780232130518 ; ; 0.102684784803795 ; ; 0.326665598651549 ; ; 0 ; ; 0.126143984195021 ; ; 0 ; ; 0.378023497338132 ; ; 0.1342246659648 ; 
41;ExcessivePublicCount ; 0.0937238547353054 ; ; 0.283987236220978 ; ; 0.381200123539421 ; ; 0.237260628641134 ; ; 0.322958398725418 ; ; 0.175478851958718 ; ; 0.277918767817676 ; ; 0.266224197086321 ; ; 0.199369758640656 ; ; 0 ; ; 0.215952122418474 ; ; 0 ; 
42;TooManyFields ; 0.0795681792079703 ; ; 0.241381434085388 ; ; 0 ; ; 0.113082957611105 ; ; 0 ; ; 0.224748345787557 ; ; 0.177072202677603 ; ; 0.198047147065677 ; ; 0.245129311298965 ; ; 0.245393857380764 ; ; 0.30931647700624 ; ; 0 ; 
43;TooManyMethods ; 0.161463381701444 ; ; 0.161806119700279 ; ; 0.381200123539421 ; ; 0.190580793267362 ; ; 0.464215364179746 ; ; 0.156457787778306 ; ; 0.29074265608314 ; ; 0.243056957224944 ; ; 0.299933744282235 ; ; 0.245393857380764 ; ; 0.507547134634603 ; *; 0 ; 
44;TooManyPublicMethods ; 0.0677468809337818 ; ; 0.152799751306044 ; ; 0.404980045246479 ; ; 0.117634790283576 ; ; 0.351875952442083 ; ; 0.200704507458761 ; ; 0.206187083190354 ; ; 0.241271281725797 ; ; 0.135369541569059 ; ; 0.24974758728369 ; ; 0.327921715596036 ; ; 0.0843259204999016 ; 
45;ExcessiveClassComplexity ; 0.117452703787768 ; ; 0.336355834918511 ; ; 0.201360975705684 ; ; 0.119347137070942 ; ; 0.537672917006505 ; ; 0.126741503724247 ; ; 0.152412195953455 ; ; 0.288533474675337 ; ; 0.201199191953257 ; ; 0.262341840383887 ; ; 0.342261450195393 ; ; 0.161702681722056 ; 
46;NumberOfChildren ; 0.0680803289085951 ; ; 0 ; ; 0 ; ; 0.111690537031644 ; ; 0 ; ; 0.116506769054464 ; ; 0.208497905029576 ; ; 0.257982683275314 ; ; 0.168938181939149 ; ; 0 ; ; 0.351447789487875 ; ; 0.254908064658679 ; 
