"id";"version";"date"
"61";"3.5.8.1";"2013-04-24"
"62";"4.0.0";"2013-05-03"
"63";"4.0.1";"2013-05-14"
"64";"4.0.2";"2013-05-24"
"65";"4.0.3";"2013-06-05"
"66";"4.0.4";"2013-06-17"
"67";"4.0.4.1";"2013-06-30"
"68";"4.0.4.2";"2013-07-28"
"69";"4.0.5";"2013-08-04"
"70";"4.0.6";"2013-09-05"
"71";"4.0.7";"2013-09-23"
"72";"4.0.8";"2013-10-06"
"73";"4.0.9";"2013-11-04"
"74";"4.0.10";"2013-12-04"
"75";"4.1.0";"2013-12-12"
"76";"4.1.1";"2013-12-17"
"77";"4.1.2";"2013-12-23"
"78";"4.1.3";"2013-12-31"
"79";"4.1.4";"2014-01-07"
"80";"4.1.5";"2014-01-17"
"81";"4.1.6";"2014-01-26"
"82";"4.1.7";"2014-02-09"
"83";"4.1.8";"2014-02-22"
"84";"4.1.9";"2014-03-06"
"86";"4.1.11";"2014-03-22"
"87";"4.1.12";"2014-03-27"
"88";"4.1.13";"2014-04-13"
"89";"4.1.14";"2014-04-26"
"90";"4.2.0";"2014-05-08"
"91";"4.2.1";"2014-05-13"
"92";"4.2.2";"2014-05-20"
"93";"4.2.3";"2014-06-08"
"94";"4.2.4";"2014-06-20"
"95";"4.2.5";"2014-06-26"
"96";"4.2.6";"2014-07-17"
"97";"4.2.7";"2014-07-31"
"98";"4.2.7.1";"2014-08-17"
"99";"4.2.8";"2014-08-31"
"100";"4.2.8.1";"2014-09-13"
"101";"4.2.9";"2014-09-20"
"102";"4.2.9.1";"2014-10-01"
"103";"4.2.10";"2014-10-11"
"104";"4.2.10.1";"2014-10-21"
"105";"4.2.11";"2014-10-31"
"106";"4.2.12";"2014-11-20"
"107";"4.2.13";"2014-11-30"
"108";"4.2.13.1";"2014-12-03"
"109";"4.3.0";"2014-12-05"
"110";"4.3.1";"2014-12-08"
"111";"4.3.2";"2014-12-12"
"112";"4.3.3";"2014-12-21"
"113";"4.3.4";"2014-12-29"
"114";"4.3.5";"2015-01-05"
"115";"4.3.6";"2015-01-07"
"116";"4.3.7";"2015-01-15"
"117";"4.3.8";"2015-01-24"
"118";"4.3.9";"2015-02-05"
"119";"4.3.10";"2015-02-20"
"120";"4.3.11";"2015-03-02"
"121";"4.3.11.1";"2015-03-04"
"122";"4.3.12";"2015-03-14"
"123";"4.3.13";"2015-03-29"
"124";"4.4.0";"2015-04-01"
"125";"4.4.1";"2015-04-07"
"126";"4.4.1.1";"2015-04-08"
"127";"4.4.2";"2015-04-13"
"128";"4.4.3";"2015-04-20"
"129";"4.4.4";"2015-04-26"
"130";"4.4.5";"2015-05-05"
"131";"4.4.6";"2015-05-07"
"132";"4.4.6.1";"2015-05-13"
"133";"4.4.7";"2015-05-16"
"134";"4.4.8";"2015-05-28"
"135";"4.4.9";"2015-06-04"
"136";"4.4.10";"2015-06-17"
"137";"4.4.11";"2015-07-06"
"138";"4.4.12";"2015-07-20"
"139";"4.4.13";"2015-08-07"
"140";"4.4.13.1";"2015-08-08"
"141";"4.4.14";"2015-08-20"
"142";"4.4.14.1";"2015-09-08"
"143";"4.4.15";"2015-09-20"
"144";"4.5.0";"2015-09-23"
"145";"4.5.0.1";"2015-09-24"
"146";"4.5.0.2";"2015-09-25"
"147";"4.5.1";"2015-10-23"
"148";"4.5.2";"2015-11-23"
"149";"4.5.3";"2015-12-23"
"150";"4.5.3.1";"2015-12-25"
"151";"4.5.4";"2016-01-28"
"152";"4.5.4.1";"2016-01-29"
"153";"4.5.5.1";"2016-02-29"
"154";"4.6.0";"2016-03-22"
"155";"4.6.1";"2016-05-03"
"156";"4.6.2";"2016-05-25"
"157";"4.6.3";"2016-06-23"
"158";"4.6.4";"2016-08-16"
"159";"4.6.5";"2016-11-25"
"160";"4.6.5.1";"2016-11-26"
"161";"4.6.5.2";"2016-12-05"
"162";"4.6.6";"2017-01-23"
"163";"4.7.0";"2017-03-29"
"164";"4.7.1";"2017-05-26"
"165";"4.7.2";"2017-06-29"
"166";"4.7.3";"2017-07-20"
"167";"4.7.4";"2017-08-24"
"168";"4.7.5";"2017-10-23"
"169";"4.7.6";"2017-12-01"
"170";"4.7.7";"2017-12-23"
"171";"4.7.8";"2018-02-20"
"172";"4.8.0";"2018-04-07"
"173";"4.8.0.1";"2018-04-19"
"174";"4.8.1";"2018-05-25"
"175";"4.8.2";"2018-06-21"
"176";"4.8.3";"2018-08-22"
"177";"4.8.4";"2018-12-11"
"178";"4.8.5";"2019-01-26"
"180";"4.9.0.1";"2019-06-04"
"181";"4.9.1";"2019-09-21"
